alimentador_id,nombre_alimentador,nm_zona
60000020,Agua Santa,valparaiso
60000021,Barón,valparaiso
60000022,Placeres,valparaiso
60000087,Placilla,valparaiso
60000023,Polanco,valparaiso
60000024,Santos Ossa,valparaiso
60000069,La Pólvora,valparaiso
60000091,Pacifico,valparaiso
60000025,Playa Ancha,valparaiso
60000026,Tomás Ramos,valparaiso
60000027,Brasil,valparaiso
60000030,Colón,valparaiso
60000099,Errazuriz,valparaiso
60000031,Francia,valparaiso
60000033,Independencia,valparaiso
60000028,Puerto 1,valparaiso
60000029,Puerto 2,valparaiso
60000032,Sauce,valparaiso
60000094,TPS,valparaiso
60000034,Uruguay,valparaiso
60000124,Expreso Baquedano,valparaiso
60000106,Santa Augusta,valparaiso
60000102,Curauma,valparaiso
60000103,Peñuelas,valparaiso
60000113,Bosque,valparaiso
60000001,Concón,Costa
60000095,Expreso RPC,Costa
60000003,Higuerillas,Costa
60000002,Refinería,Costa
60000110,Tabolango,Costa
60000007,Achupallas,Costa
60000005,Salinas,Costa
60000006,Villa Dulce,Marga Marga
60000004,Viña del Mar Alto,Costa
60000010,Belloto,Marga Marga
60000093,El Carmen,Marga Marga
60000092,El Sol,Marga Marga
60000012,Marga Marga,Marga Marga
60000013,Paso Hondo,Marga Marga
60000008,Peñablanca,Marga Marga
60000011,Quilpué,Marga Marga
60000009,Villa Alemana,Marga Marga
60000108,Freire,Marga Marga
60000015,Loncura,Costa
60000014,Quintero,Costa
60000016,Maitenes,Costa
60000111,Arenales,Costa
60000064,Alejandro Navarrete,Costa
60000019,Glorias Navales,Costa
60000017,Jorge Montt,Costa
60000090,Montemar,Costa
60000018,Reñaca,Costa
60000107,Costa Brava,Costa
60000115,Gomez Carreño,Costa
60000041,Nogales,Quillota
60000042,Pataguas,Quillota
60000098,Artificio,Quillota
60000035,Calera,Quillota
60000036,La Cruz,Quillota
60000068,La Palmilla,Quillota
60000109,Hijuelas,Quillota
60000039,Limache,Quillota
60000101,Lliu Lliu,Quillota
60000040,Olmué,Quillota
60000037,Quillota,Quillota
60000038,Said,Quillota
60000043,Pachacama,Quillota
60000100,San Isidro,Quillota
60000048,Catemu,Aconcagua
60000049,Enami,Aconcagua
60000050,Portillo,Aconcagua
60000088,Llay Llay,Aconcagua
60000044,Santa Teresa,Aconcagua
60000131,Porvenir,Aconcagua
60000096,Los Espinos,Aconcagua
60000067,Río Colorado,Aconcagua
60000051,Río Blanco,Aconcagua
60000089,Bucalemu,Aconcagua
60000052,Palomar,Aconcagua
60000054,Putaendo,Aconcagua
60000053,San Felipe,Aconcagua
60000055,Tocornal,Aconcagua
60000097,Traslaviña,Aconcagua
60000126,El Almendral,Aconcagua
60000104,Centenario,Aconcagua
60000047,Cormecánica,Aconcagua
60000045,Los Andes,Aconcagua
60000070,San Esteban,Aconcagua
60000046,San Rafael,Aconcagua
60000071,San Vicente,Aconcagua
60000118,Las Juntas,Aconcagua
60000119,Chacabuco,Aconcagua
60000060,Barrancas,San Antonio
60000058,Emporchi,San Antonio
60000062,Las Brisas,San Antonio
60000059,Llolleo,San Antonio
60000061,Pesqueras,San Antonio
60000056,San Antonio,San Antonio
60000084,Santo Domingo,San Antonio
60000112,Aguas Buenas,San Antonio
60000057,San Juan,San Antonio
60000120,Puerto Central,San Antonio
60000135,Las Brisas 23KV,San Antonio
60000136,Puerto Industrial ,San Antonio
60000137,Curicó,San Antonio
90000006,Cartagena,San Antonio
60000105,Panquehue,Aconcagua
60000114,Paiquen,Aconcagua
60000125,Viña Errazuriz,Aconcagua
60000116,Manatiales,Costa
60000117,Lilenes,Costa
60000134,Blanca Estela ,Costa
60000121,El Rincón,Marga Marga
60000122,Wilson,Marga Marga
60000123,Huanhuali,Marga Marga
60000127,El Pangal ,Quillota
60000128,Boco,Quillota
60000129,Pocochay,Quillota
60000130,Prat,Quillota
60000132,Lo Campo,Aconcagua
60000133,Las vertientes,Aconcagua
